sheet,row,code,measure,range,year,excel,pipeline,status,diff,n_sumifs,sample_formula
Approved,11,EXP_ECON_USE_GOO_SER_EXE,approved,base,2009,6946100166.0,6946100166.0,MATCH,0.0,1,"=SUMIFS(approved,year,C$1,transfer,""Excluding transfers"",econ1,""113 Payment for goods and services"")"
Approved,11,EXP_ECON_USE_GOO_SER_EXE,approved,base,2010,6556797016.0,6556797016.0,MATCH,0.0,1,"=SUMIFS(approved,year,C$1,transfer,""Excluding transfers"",econ1,""113 Payment for goods and services"")"
Approved,11,EXP_ECON_USE_GOO_SER_EXE,approved,base,2011,7447478452.515625,7447478452.515625,MATCH,0.0,1,"=SUMIFS(approved,year,C$1,transfer,""Excluding transfers"",econ1,""113 Payment for goods and services"")"
Approved,11,EXP_ECON_USE_GOO_SER_EXE,approved,base,2012,8157833049.0,8157833049.0,MATCH,0.0,1,"=SUMIFS(approved,year,C$1,transfer,""Excluding transfers"",econ1,""113 Payment for goods and services"")"
Approved,11,EXP_ECON_USE_GOO_SER_EXE,approved,base,2013,9487077365.0,9487077365.0,MATCH,0.0,1,"=SUMIFS(approved,year,C$1,transfer,""Excluding transfers"",econ1,""113 Payment for goods and services"")"
Approved,11,EXP_ECON_USE_GOO_SER_EXE,approved,base,2014,10698018134.0,10698018134.0,MATCH,0.0,1,"=SUMIFS(approved,year,C$1,transfer,""Excluding transfers"",econ1,""113 Payment for goods and services"")"
Approved,11,EXP_ECON_USE_GOO_SER_EXE,approved,base,2015,11390972006.0,11390972006.0,MATCH,0.0,1,"=SUMIFS(approved,year,C$1,transfer,""Excluding transfers"",econ1,""113 Payment for goods and services"")"
Approved,13,EXP_ECON_GOO_SER_EMP_CON_EXE,approved,base,2006,22210100.0,22210100.0,MATCH,0.0,1,"=SUM(SUMIFS(approved,year,C$1,transfer,""Excluding transfers"",econ2,""113.16 Research and innovation services contracted out by self-finance facilities""))"
Approved,13,EXP_ECON_GOO_SER_EMP_CON_EXE,approved,base,2007,31668700.0,31668700.0,MATCH,0.0,1,"=SUM(SUMIFS(approved,year,C$1,transfer,""Excluding transfers"",econ2,""113.16 Research and innovation services contracted out by self-finance facilities""))"
Approved,13,EXP_ECON_GOO_SER_EMP_CON_EXE,approved,base,2008,53353100.0,53353100.0,MATCH,0.0,1,"=SUM(SUMIFS(approved,year,C$1,transfer,""Excluding transfers"",econ2,""113.16 Research and innovation services contracted out by self-finance facilities""))"
Approved,13,EXP_ECON_GOO_SER_EMP_CON_EXE,approved,base,2009,3000.0,3000.0,MATCH,0.0,1,"=SUM(SUMIFS(approved,year,C$1,transfer,""Excluding transfers"",econ2,""113.16 Research and innovation services contracted out by self-finance facilities""))"
Approved,13,EXP_ECON_GOO_SER_EMP_CON_EXE,approved,base,2010,21103800.0,21103800.0,MATCH,0.0,1,"=SUM(SUMIFS(approved,year,C$1,transfer,""Excluding transfers"",econ2,""113.16 Research and innovation services contracted out by self-finance facilities""))"
Approved,13,EXP_ECON_GOO_SER_EMP_CON_EXE,approved,base,2011,0.0,0.0,MATCH,0.0,1,"=SUM(SUMIFS(approved,year,C$1,transfer,""Excluding transfers"",econ2,""113.16 Research and innovation services contracted out by self-finance facilities""))"
Approved,13,EXP_ECON_GOO_SER_EMP_CON_EXE,approved,base,2012,0.0,0.0,MATCH,0.0,1,"=SUM(SUMIFS(approved,year,C$1,transfer,""Excluding transfers"",econ2,""113.16 Research and innovation services contracted out by self-finance facilities""))"
Approved,13,EXP_ECON_GOO_SER_EMP_CON_EXE,approved,base,2013,0.0,0.0,MATCH,0.0,1,"=SUM(SUMIFS(approved,year,C$1,transfer,""Excluding transfers"",econ2,""113.16 Research and innovation services contracted out by self-finance facilities""))"
