sheet,row,row_type,code,category,fiscal_year,region,income,basis,source,rigidity,formulas_text,coverage_text,sample_formula,sample_year,measure,criteria_json
Approved,320,HEADER,REV_ECON_PRO_TAX_TRA_EXE,Revenue: Property taxes (transactions),Jan-Dec,Sub-Saharan Africa,Lower middle income,Cash,BOOST,Yes,..,General Government,,,,[]
Executed,2,TAG,EXP_ECON_TOT_EXP_EXE,Spending: Total Expenditures,Jan-Dec,Sub-Saharan Africa,Lower middle income,Cash,BOOST,Yes,"econ1,""<>32*"",econ1,""<>33*"",econ1,""<>36*"",econ1,""<>6*""",General Government,"=SUM(SUMIFS(executed,Exclude,""<>y"",year,O$1))",2018,executed,"[{""field"": ""Exclude"", ""op"": ""<>"", ""value"": ""y""}, {""field"": ""year"", ""op"": ""=year"", ""value"": ""O$1""}]"
Executed,3,HEADER,EXP_ECON_TOT_EXP_FOR_EXE,Spending: Total Expenditures (foreign funded),Jan-Dec,Sub-Saharan Africa,Lower middle income,Cash,BOOST,Yes,..,General Government,,,,[]
Executed,4,TAG,EXP_ECON_WAG_BIL_EXE,Spending: Wage bill,Jan-Dec,Sub-Saharan Africa,Lower middle income,Cash,BOOST,Yes,"type,""Personnel""",General Government,"=SUM(SUMIFS(executed,Exclude,""<>y"",year,O$1,type,""Personnel*""))",2018,executed,"[{""field"": ""Exclude"", ""op"": ""<>"", ""value"": ""y""}, {""field"": ""year"", ""op"": ""=year"", ""value"": ""O$1""}, {""field"": ""type"", ""op"": ""="", ""value"": ""Personnel*""}]"
Executed,5,TAG,EXP_ECON_BAS_WAG_EXE,Spending in basic wages,Jan-Dec,Sub-Saharan Africa,Lower middle income,Cash,BOOST,Yes,"type,""Personnel"",econ3,""<>21110 allowances""",General Government,"=SUM(SUMIFS(executed,Exclude,""<>y"",year,O$1,type,""Personnel*"",econ3,""<>21110 allowances""))",2018,executed,"[{""field"": ""Exclude"", ""op"": ""<>"", ""value"": ""y""}, {""field"": ""year"", ""op"": ""=year"", ""value"": ""O$1""}, {""field"": ""type"", ""op"": ""="", ""value"": ""Personnel*""}, {""field"": ""econ3"", ""op"": ""<>"", ""value"": ""21110 allowances""}]"
Executed,6,TAG,EXP_ECON_ALL_EXE,Spending in allowances,Jan-Dec,Sub-Saharan Africa,Lower middle income,Cash,BOOST,Yes,"type,""Personnel"",econ3,""21110 allowances""",General Government,"=SUM(SUMIFS(executed,Exclude,""<>y"",year,O$1,type,""Personnel*"",econ3,""21110 allowances""))",2018,executed,"[{""field"": ""Exclude"", ""op"": ""<>"", ""value"": ""y""}, {""field"": ""year"", ""op"": ""=year"", ""value"": ""O$1""}, {""field"": ""type"", ""op"": ""="", ""value"": ""Personnel*""}, {""field"": ""econ3"", ""op"": ""="", ""value"": ""21110 allowances""}]"
Executed,7,TAG,EXP_ECON_PEN_CON_EXE,Social benefits - (pension contributions),Jan-Dec,Sub-Saharan Africa,Lower middle income,Cash,BOOST,Yes,"econ3,""21210 Actual social contributions [GFS]""",General Government,"=SUM(SUMIFS(executed,Exclude,""<>y"",year,O$1,econ3,""21210 Actual social contributions [GFS]""))",2018,executed,"[{""field"": ""Exclude"", ""op"": ""<>"", ""value"": ""y""}, {""field"": ""year"", ""op"": ""=year"", ""value"": ""O$1""}, {""field"": ""econ3"", ""op"": ""="", ""value"": ""21210 Actual social contributions [GFS]""}]"
Executed,8,TAG,EXP_ECON_CAP_EXP_EXE,Spending: Capital Expenditures,Jan-Dec,Sub-Saharan Africa,Lower middle income,Cash,BOOST,Yes,"type,""capital*""",General Government,"=SUM(SUMIFS(executed,Exclude,""<>y"",year,O$1,type,""capital*""))",2018,executed,"[{""field"": ""Exclude"", ""op"": ""<>"", ""value"": ""y""}, {""field"": ""year"", ""op"": ""=year"", ""value"": ""O$1""}, {""field"": ""type"", ""op"": ""="", ""value"": ""capital*""}]"
Executed,9,HEADER,EXP_ECON_CAP_EXP_FOR_EXE,Spending: Capital Expenditures (foreign spending),Jan-Dec,Sub-Saharan Africa,Lower middle income,Cash,BOOST,Yes,..,General Government,,,,[]
Executed,10,HEADER,EXP_ECON_CAP_MAI_EXE,Spending in capital maintenance,Jan-Dec,Sub-Saharan Africa,Lower middle income,Cash,BOOST,Yes,..,General Government,,,,[]
